key,pref.id,sex,pref.E,pref.A,pref.J,人口,受療率_入院_悪性新生物_2017,受療率_入院_心疾患_2017,受療率_入院_脳血管疾患_2017,受療率_外来_悪性新生物_2017,受療率_外来_心疾患_2017,受療率_外来_脳血管疾患_2017,病院数_2014,診療所数_2014,がん治療認定医数_2020,循環器専門医数_2020,内視鏡専門医数_2020,75歳未満調整死亡率_悪性新生物_2018,60歳以上人口_2015,学習率2016,読書率_2016,書籍購入代金_2017,平均寿命_2015,健康寿命_2016,75歳未満調整死亡率_悪政新生物_2018,年齢調整死亡率_心疾患_2015,年齢調整死亡率_脳血管疾患_2015,60歳以上人口_2015,学習率_2016,読書率_2016,人口・世帯_年少人口割合2020,人口・世帯_老年人口割合2020,人口・世帯_生産年齢人口割合2020,人口・世帯_粗死亡率2020,人口・世帯_共働き世帯割合2020,自然環境_年平均気温,自然環境_年平均相対湿度,自然環境_降水量（年間）,自然環境_雪日数（年間）,経済基盤_県民所得,行政基盤_財政力指数,行政基盤_収支比率,行政基盤_生活保護費割合（県財政）,行政基盤_教育費割合（県財政）,教育_最終学歴が大学・大学院卒の者の割合,労働_１次産業就業者比率,労働_２次産業就業者比率,労働_３次産業就業者比率,労働_完全失業率,文化・スポーツ_図書館数（人口100万人当たり）
35,35,M,Yamaguchi,Ymgc,山口,***,142,69,228,145,136,81,10.4,90.5,163,190,349,74.1,551772,31.5,34.5,38589,80.51,72.18,89.4648035,70.8,37.9,236270,29.7,29.3,11.8,33.9,54.3,13.53,24.5,16,76,1939.5,47,2774,0.453,1.3,0.17,22.82,13.5,4.8,25.6,67.5,4,38.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,M,Tokushima,Tks,徳島,***,123,98,168,150,164,84,14.8,97.3,158,122,240,66.8,289371,31.8,33.5,41200,80.32,71.34,86.73101102,61.6,40.3,126897,29.2,29.6,11.3,33.1,55.7,13.74,26.64,17.1,71,1760,12,2921,0.334,3.4,1,18.04,14.3,8.2,23.4,65.3,5,37.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,M,Kagawa,Kgw,香川,***,118,61,121,192,148,76,9.2,83.8,169,141,303,67.1,354500,34.1,33.9,37424,80.85,72.37,83.6215207,69.8,37.6,156715,33.1,29.1,12.3,31.5,56.1,12.3,27.02,17,69,1575,22,2925,0.487,2,0.53,21.43,16.5,5.3,25.1,66.6,4,29.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,M,Ehime,Ehm,愛媛,***,125,69,152,137,117,98,10.3,89.4,200,173,429,72.8,519188,32.6,32.9,37008,80.16,71.33,93.53919446,80.3,38.6,222810,31.7,28.6,12,32.6,55.4,13.3,25.13,17.1,68,1796.5,22,2535,0.434,0.6,0.54,22.32,14.8,7.3,23.1,64.8,4.4,31.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,M,Kochi,Kch,高知,***,110,125,282,122,132,181,17.6,77.1,98,89,203,77.4,291038,27.7,30.8,48136,80.26,71.37,96.87808972,70.1,37.6,124089,26.4,25.1,11.2,34.8,54.1,14.22,24.23,17.4,72,3092.5,3,2532,0.268,0.8,0.85,23.6,11,11.4,16.6,68.7,4.9,54.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,M,Fukuoka,Fkk,福岡,***,122,68,148,146,89,46,9,90.1,796,810,1600,74.4,1659446,36.6,36,36762,80.66,71.49,93.88652765,42.3,33.6,710787,34.6,32.7,13.2,27.6,59.2,10.29,21.99,17.7,69,1617,28,2724,0.643,0.8,2.26,18.7,16.3,2.8,20.2,72.1,5.3,23.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,M,Saga,Sag,佐賀,***,121,62,157,186,92,122,12.9,81.9,108,96,226,77.2,293040,33.7,31.3,39431,80.65,71.6,99.58266805,50.2,38.4,125443,31.8,26.6,13.6,29.7,56.6,12.1,32.01,17.4,71,1877,20,2412,0.348,1.8,0.46,22.46,12.3,8.4,23.5,65,4.1,33.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
